Hierarchy,Leaf,Description,Source / Example,
Remember -> Recognition -> Object Recognition -> Core Object Recognition,Technology & Electronics,"This task evaluates the VLM's ability to precisely identify and recall 'Technology & Electronics' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Technology & Electronics' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Technology & Electronics' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Technology & Electronics' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Technology & Electronics' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Core Object Recognition,Artifacts,"This task evaluates the VLM's ability to precisely identify and recall 'Artifacts' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Artifacts' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Artifacts' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Artifacts' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Artifacts' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Core Object Recognition,Food & Beverage,"This task evaluates the VLM's ability to precisely identify and recall 'Food & Beverage' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Food & Beverage' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Food & Beverage' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Food & Beverage' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Food & Beverage' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Core Object Recognition,Vehicles,"This task evaluates the VLM's ability to precisely identify and recall 'Vehicles' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Vehicles' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Vehicles' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Vehicles' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Vehicles' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Core Object Recognition,Arts,"This task evaluates the VLM's ability to precisely identify and recall 'Arts' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Arts' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Arts' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Arts' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Arts' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Core Object Recognition,Indoor Scenes,"This task evaluates the VLM's ability to precisely identify and recall 'Indoor Scenes' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Indoor Scenes' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Indoor Scenes' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Indoor Scenes' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Indoor Scenes' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Core Object Recognition,Outdoor Scenes,"This task evaluates the VLM's ability to precisely identify and recall 'Outdoor Scenes' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Outdoor Scenes' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Outdoor Scenes' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Outdoor Scenes' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Outdoor Scenes' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Core Object Recognition,Clothing & Accessories,"This task evaluates the VLM's ability to precisely identify and recall 'Clothing & Accessories' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Clothing & Accessories' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Clothing & Accessories' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Clothing & Accessories' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Clothing & Accessories' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Core Object Recognition,Produce & Plants,"This task evaluates the VLM's ability to precisely identify and recall 'Produce & Plants' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Produce & Plants' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Produce & Plants' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Produce & Plants' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Produce & Plants' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Core Object Recognition,People,"This task evaluates the VLM's ability to precisely identify and recall 'People' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'People' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'People' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'People' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'People' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Core Object Recognition,Animals,"This task evaluates the VLM's ability to precisely identify and recall 'Animals' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Animals' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Animals' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Animals' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Animals' is actually a visually similar but different category.",
Remember -> Recognition -> Object Recognition -> Core Object Recognition,Common Objects,"This task evaluates the VLM's ability to precisely identify and recall 'Common Objects' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Common Objects' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Common Objects' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Common Objects' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Common Objects' is actually a visually similar but different category.",
